Merchant_Keyword,Merchant_Clean,Category,Subcategory,Aliases
Dubai Taxi,Dubai Taxi,Transport & Vehicle,Taxi,
Eppco,Eppco,Transport & Vehicle,Fuel,
EPPCO SITE 64,Eppco,Transport & Vehicle,Fuel,
EPPCO SITE 77,Eppco,Transport & Vehicle,Fuel,
inDrive,inDrive,Transport & Vehicle,Ride-Hailing,
Jeeny,Jeeny,Transport & Vehicle,Ride-Hailing,
Lyft,Lyft,Transport & Vehicle,Ride-Hailing,
Mawgif,Mawgif,Transport & Vehicle,Salik & Parking,
Metro Taxi,Metro Taxi,Transport & Vehicle,Taxi,
Road & Transport Authority,Road & Transport Authority,Transport & Vehicle,RTA & Metro,
Sukoon insurance,Sukoon Insurance,Transport & Vehicle,Car Insurance,
Tasjeel al qusais,Tasjeel al qusais,Transport & Vehicle,Car Registration,
Tasjeel al twar,Tasjeel al twar,Transport & Vehicle,Car Registration,
Air Arabia,Air Arabia,Travel & Holidays,Flights (UAE),
Airbnb,Airbnb,Travel & Holidays,Hotels (Other),
Booking.com,Booking.com,Travel & Holidays,Hotels (Other),
Double tree auh,DoubleTree Abu Dhabi,Travel & Holidays,Hotels (UAE),
Emirates Airline,Emirates Airline,Travel & Holidays,Flights (UAE),
Emirates Leisure,Emirates Airlines,Travel & Holidays,Flights (Other),
Etihad,Etihad Airways,Travel & Holidays,Flights (UAE),
Flydubai,Flydubai,Travel & Holidays,Flights (UAE),
Indigo Airlines,Indigo Airlines,Travel & Holidays,Flights (Other),
INDIGO GURGAON IN,Indigo Airlines,Travel & Holidays,Flights (Other),
J hotels port saeed d,J Hotels,Travel & Holidays,Hotels (UAE),
Makemytrip travel to,MakeMyTrip,Travel & Holidays,Flights (Other),
Ticketetickete co trav,Ticketetickete co trav,Travel & Holidays,Flights (Other),
addc,ADDC,Utilities,Electricity & Water,addc
Al wasl water purifica,Al wasl water purifica,Utilities,Water Delivery,
dewa,DEWA,Utilities,Electricity & Water,dewa
du,du,Utilities,Internet & Phone,du
etisalat,Etisalat,Utilities,Internet & Phone,etisalat|e&
Lootah,Lootah,Utilities,Gas,
sewa,SEWA,Utilities,Electricity & Water,sewa
virgin mobile,Virgin Mobile,Utilities,Internet & Phone,virgin mobile
Zenner middle east dwc,Zenner Middle East,Utilities,Gas,zenner
Al taamul althaki govt,Al Taamul Al Thaki,Visa & Govt Services,Govt Fees,
Bls International,BLS International,Visa & Govt Services,PRO Services,
Ministry of Interior,Ministry of Interior,Visa & Govt Services,Govt Fees,
Rak economic zone auth,Rak economic zone auth,Visa & Govt Services,Govt Fees,
Ras Al Khaimah Economic Zone Authority,Ras Al Khaimah Economic Zone Authority,Visa & Govt Services,Govt Fees,
